What is your name?,What is your gender?,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,Did you do any certification courses additionally?,"If yes, please specify your certificate course title.",Are you working?,"If yes, then what is/was your first Job title in your current field of work? If not applicable, write NA.","Have you done masters after undergraduation? If yes, mention your field of masters.(Eg; Masters in Mathematics)"
Hana Sari,Male,Pertanian,Ilmu Tanah,"Pertanian, Budidaya, Agronomi","Budidaya Tanaman, Analisis Tanah, GIS",6.49,Yes,,No,NA,Masters in Agronomy
Mohammad Rizki,Female,Farmasi,Farmasi Industri,"Industri Farmasi, Produksi, QC","Penelitian, Laboratorium, Analisis",7.42,Yes,GMP Certification,No,NA,NA
Fitri Handayani,Female,B.Tech,Computer Science,"AI, Machine Learning, Deep Learning","TensorFlow, PyTorch, Machine Learning",8.35,Yes,NA,Yes,Civil Engineer,Masters in Engineering
Mohammad Rizki,Male,Ekonomi Pembangunan,Ekonomi Moneter,"Perdagangan Internasional, Ekspor Impor","Ekonometrika, SPSS, Eviews, Analisis",8.71,Yes,Sertifikasi Perencana,Yes,Peneliti Ekonomi,NA
Nina Kusuma,Female,Teknik Industri,Teknik Produksi,"Quality Control, Six Sigma, Kaizen","Analisis Data, Minitab, SPSS",6.62,Yes,PMP,No,NA,NA
Ragil Saputro,Female,Psikologi,Psikologi Klinis,"Konseling, Terapi, Kesehatan Mental","Konseling, Wawancara, Empati",9.08,No,NA,No,NA,Masters in Counseling
Petra Wijaya,Female,Akuntansi,Audit,"Keuangan, Investasi, Pasar Modal","MS Excel, Pivot, Financial Reporting",6.51,Yes,CPA,No,NA,NA
Galih Purnomo,Female,BA,English,"Writing, Communication, Media","Communication, Writing, Research",6.07,Yes,NA,Yes,Public Relations,NA
Andi Pratama,Male,Farmasi,Farmakologi,"Penelitian, Farmakologi, Drug Discovery","QC, QA, GMP, HPLC",6.87,No,NA,Yes,Regulatory Affairs,Masters in Pharmacology
Omar Hakim,Female,B.Tech,Civil,"IoT, Embedded Systems, Robotics","Python, Java, C++, SQL",6.6,Yes,,No,NA,NA
Putri Ayu,Male,Kedokteran,Kedokteran Gigi,"Bedah, Operasi, Spesialis","Diagnosis, Anamnesis, Pemeriksaan Fisik",7.25,No,NA,Yes,Dokter Puskesmas,Spesialis Bedah
Miko Prasetyo,Female,Pendidikan,Pendidikan Bahasa,"Teknologi Pendidikan, E-Learning","E-Learning, LMS, Canva, Presentasi",8.71,No,NA,No,NA,NA
Eko Wahyudi,Female,Psikologi,Psikologi Klinis,"Penelitian, Asesmen, Psikometri","HR Management, Rekrutmen, Training",7.24,Yes,Sertifikasi Psikolog,Yes,Psikolog,
Reza Mahendra,Female,Psikologi,Psikologi Industri,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",8.81,No,NA,Yes,,NA
Agus Salim,Female,Teknik Elektro,Elektronika,"Telekomunikasi, Jaringan, RF","PLC, SCADA, Otomasi, Siemens",9.74,Yes,Sertifikasi BNSP Elektro,No,NA,NA
Cahyo Wibowo,Male,Farmasi,Bioteknologi Farmasi,"Farmasi Klinis, Obat, Pasien","QC, QA, GMP, HPLC",8.03,Yes,NA,Yes,Apoteker,Masters in Pharmacy
Evan Setiawan,Male,Sastra Inggris,Pengajaran Bahasa Inggris,"Penerjemahan, Bahasa, Linguistik","Penerjemahan, Bahasa Inggris, Riset",7.33,No,NA,No,NA,NA
Qirana Putri,Female,Farmasi,Farmasi Industri,"Farmasi Klinis, Obat, Pasien","QC, QA, GMP, HPLC",7.22,Yes,STRA Apoteker,No,NA,Masters in Pharmacy
Dian Rahayu,Male,Manajemen,Manajemen Pemasaran,"Bisnis, Pemasaran, Strategi","Financial Planning, Budgeting, Excel",6.24,Yes,NA,Yes,Product Manager,MBA
Ulfa Nuraini,Female,Pendidikan,Pendidikan Bahasa,"Teknologi Pendidikan, E-Learning","E-Learning, LMS, Canva, Presentasi",7.51,No,NA,No,NA,M.Pd
Dita Maharani,Male,B.Com,Commerce,"Banking, Finance, Economics","Tally, MS Excel, Accounting",7.77,Yes,Financial Modeling,Yes,Financial Analyst,NA
Nita Anggraini,Male,Kedokteran,Spesialis Anak,"Bedah, Operasi, Spesialis","Diagnosis, Anamnesis, Pemeriksaan Fisik",9.72,Yes,ACLS,Yes,Dokter Umum,Spesialis Penyakit Dalam
Omar Hakim,Female,Peternakan,Kesehatan Ternak,"Nutrisi, Pakan Ternak, Formulasi","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",6.31,No,NA,No,NA,Masters in Animal Science
Vino Pratama,Female,Manajemen,Manajemen Keuangan,"SDM, Organisasi, Leadership","MS Excel, Business Analysis, PowerPoint",6.39,Yes,,No,NA,NA
Wahyu Nugroho,Male,BCA,Software Development,"Programming, Web Development, Software","C++, Data Structures, Algorithms",6.84,No,NA,Yes,,MCA
Agus Salim,Male,Desain Komunikasi Visual,Desain UI/UX,"Desain Grafis, Branding, Visual","After Effects, Premiere Pro, Animasi",6.38,Yes,NA,Yes,UI/UX Designer,NA
Budi Santoso,Male,Psikologi,Psikologi Sosial,"HR, Rekrutmen, Pengembangan SDM","Psikotes, Asesmen, SPSS",9.27,No,NA,No,NA,NA
Hana Sari,Female,B.Com,Commerce,"Banking, Finance, Economics","MS Excel, PowerPoint, Business Analysis",6.13,No,NA,No,NA,NA
Mohammad Rizki,Female,Ekonomi Pembangunan,Ekonomi Moneter,"Perdagangan Internasional, Ekspor Impor","Kebijakan Publik, Riset, Laporan",6.01,Yes,Eviews Certification,No,NA,Masters in Public Policy
Galih Purnomo,Female,Kedokteran,Spesialis Bedah,"Penelitian Medis, Farmakologi","Tindakan Medis, Jahit Luka, Infus",9.02,Yes,ATLS,No,NA,NA
Zara Nabila,Male,Kedokteran,Spesialis Anak,"Penelitian Medis, Farmakologi","Diagnosis, Anamnesis, Pemeriksaan Fisik",8.25,No,NA,No,NA,NA
Kevin Surya,Male,Kelautan,Konservasi Sumber Daya Laut,"Teknologi Kelautan, Survei, Remote Sensing","Penelitian, Lab, Sampling, Analisis Data",8.28,No,NA,Yes,Peneliti Kelautan,
Evan Setiawan,Male,Psikologi,Psikologi Sosial,"HR, Rekrutmen, Pengembangan SDM","HR Management, Rekrutmen, Training",8.34,No,NA,No,NA,
Yogi Permana,Male,Perkapalan,Teknik Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","AutoCAD, Maxsurf, Ship Design",8.98,No,NA,Yes,Surveyor Kapal,Masters in Naval Architecture
Miko Prasetyo,Female,Farmasi,Bioteknologi Farmasi,"Penelitian, Farmakologi, Drug Discovery","Penelitian, Laboratorium, Analisis",9.44,No,NA,No,NA,NA
Yogi Permana,Female,Hukum,Hukum Pidana,"Hukum Bisnis, Kontrak, Korporasi","Negosiasi, Mediasi, Komunikasi",6.26,No,NA,Yes,Notaris,NA
